                  ,                                                                                                   ,     ,         ,                                        ,         , 2026 Update    ,        , 0.03
                  ,                                                                                                   ,     ,         ,                                        ,         , Revised Pricing,        , 
                  ,                                                                                                   ,     ,         ,                                        ,         , Install        , Remove , Transfer
LB                , Light bracket (any size)                                                                          , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 52.58          , 38.14  , 121.93
LT                , "Light head (teardrop, open, post top, or flood)"                                                 , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 79.05          , 55.98  , 132.68
LTP               , "Light pole (any size, any material)"                                                             , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 895.61         , 283.43 , 0
PIN               , "Insulator pin (any size, any voltage)"                                                           , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 97             , 32.01  , 15.81
PLD-SFL           , "PLD,Setting Foam Large"                                                                          , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 51.13          , 0      , 0
POL-W-FG-1PS-L    , "Large pole (greater than 65 ft, wood, fiberglass, or one piece steel)"                           , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 854.11         , 271.61 , 0
POL-W-FG-1PS-M    , "Medium pole (greater than 45 ft up to and including 65 ft, wood, fiberglass, or one piece steel)", EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 650.07         , 256.06 , 0
POL-W-FG-1PS-S    , "Small pole (45 ft and smaller, wood, fiberglass, or one piece steel)"                            , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 492.91         , 204.85 , 504.21
REC-100-NTS-PRG   , "REC,100amp,NovaTripleSingle,Prg,Replace"                                                         , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 91.63          , 32.72  , 71.99
REC-1P-M          , "Recloser, single phase mechanical"                                                               , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 110.11         , 79.35  , 71.99
REC-3P-M          , "Recloser, three phase mechanical"                                                                , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 245.43         , 170.17 , 179.99
REC-3P-P          , "Recloser, three phase programable"                                                               , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 543.88         , 352.4  , 531.6
REG-PLA           , "Regulator, platform mount (any size, any voltage)"                                               , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 628.31         , 376.32 , 389.97
REG-POL           , "Regulator, pole mount (any size, any voltage)"                                                   , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 532.31         , 314.16 , 277.44
SAA               , Secondary/neutral attachment                                                                      , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 56.84          , 17.72  , 48.12
SVC-S             , Service (4/0 and smaller)                                                                         , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 263.8          , 49.51  , 201.7
SWI-1PH           , "1 PH switch (underslung, etc, does not inc cutouts)"                                             , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 98.6           , 42.54  , 124.35
SWI-RCBP          , "SWI,15kV,Rec ByPass"                                                                             , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 631.58         , 337.06 , 981.73
SWI-RGBP          , "SWI,15kV,Regulator Bypass"                                                                       , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 209.43         , 65.45  , 166.9
TAP               , T Tap connector (any size)                                                                        , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 49.08          , 7.84   , 48.71
XFR-L             , Large platform mounted OH transformer (250 to 500 kVA)                                            , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 268.34         , 197.99 , 239.98
XFR-M             , Medium OH transformer (50+ to 167 kVA)                                                            , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 261.8          , 193.07 , 212.71
XFR-S             , Small OH transformer (50 kVA and below)                                                           , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 241.02         , 163.77 , 209.09
CNA-RSDC          , "CNA,Resag Corner or Dead End - Clamp"                                                            , COND, Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
CNA-SWITCH        , "CNA, Switching"                                                                                  , P15M, Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 108.54         , 0      , 0
CNA-TFA           , "CNA, Transfer Foreign Attachments"                                                               , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 81.68
CNA-TJ            , "CNA,Temporary Jumper"                                                                            , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
CNA-TM            , "CNA,Trim Trees Minor"                                                                            , HF  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 111.16         , 111.16 , 111.16
CNA-TR            , "CNA,Transfer Conductor"                                                                          , COND, Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
CNA-TRDE          , "CNA,Transfer Conductor, Single DE"                                                               , COND, Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
CNA-TRPSE         , "CNA, Pole Set Energized Line"                                                                    , COND, Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
CNA-TRWN          , "CNA,Temp.Relocation Work - Neutral"                                                              , COND, Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
CNA-TRWP          , "CNA,Temp.Relocation Work - taP"                                                                  , COND, Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
CNA-TRWT          , "CNA,Temp. Relocation Work - Tangent"                                                             , COND, Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
GYA-HDIG          , "GYA, Hand Dig Guy Anchor"                                                                        , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
GYA-ROCK          , "GYA, Rock Hole"                                                                                  , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 444.63         , 0      , 0
